text,intents
what kind of aircraft does delta use before 8 am on august second from boston to denver,aircraft
show flights from pittsburgh into san francisco,flight
what is fare class h,abbreviation
flights from denver to philadelphia include fares,flight
what is the earliest flight from boston to dallas fort worth leaving august eighth,flight
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,flight
what is the cheapest flight from denver to pittsburgh leaving on september twenty eighth,flight
what flights go from san francisco to boston and leave after 1 o'clock,flight
show me the evening flights from atlanta to washington on wednesdays,flight
information on american airlines from washington to fort worth,flight
information on first class round trip from pittsburgh to san francisco,flight
i 'd like flight information between boston and washington september third,flight
flights from indianapolis nashville memphis to seattle,flight
i need information on flights leaving dallas arriving in boston leaving dallas early in the morning,flight
give me the continental flights from chicago to seattle on friday,flight
what airlines fly from dallas to baltimore,airline
i need information on a flight from washington to fort worth,flight
flights from phoenix to milwaukee on wednesday evening,flight
i need a nonstop flight from atlanta to baltimore arriving between 5 pm and 730 pm,flight
i want to go between boston and san francisco,flight
what flights from las vegas to montreal on saturday,flight
i 'm interested in flights from denver to pittsburgh,flight
philadelphia to san francisco monday,flight
give me the flights with the fares on december twenty seventh from indianapolis to orlando,flight
what 's the airport at orlando,airport
what is the latest flight departing from boston to san francisco,flight
when is the first flight leaving from oakland to boston,flight
all flights from denver to philadelphia,flight
what flights are available saturday to san francisco from dallas,flight
what are the flights from atlanta to dallas,flight
flights from cincinnati to o 'hare departing after 718 am american,flight
what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two,flight
flight information on january twenty third from denver to san francisco,flight
which airline has more business class flights than any other airline,airline
show me the flights from boston to atlanta and the return flights from atlanta to boston,flight
i need a list of late afternoon flights from st. louis to chicago,flight
what northwest flights leave denver before noon,flight
which flights on united airlines and northwest go through denver,flight
what does ap57 mean,abbreviation
how many flights does american airlines have from boston to atlanta,quantity
find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm,flight
please list information regarding san francisco airport,airport
i would like to book a flight that goes from memphis to las vegas,flight
show me the flights from newark to los angeles,flight
do you have a flight from san francisco to atlanta around 8 am,flight
how many first class flights does united have today,quantity
do you have an 819 flight from denver to san francisco,flight
sunday 's flights between tampa and charlotte,flight
what flights leave chicago and arrive in detroit around 6 pm next tuesday,flight
flight 417 from cincinnati to dallas,flight
i want to fly from boston to san francisco,flight
can you tell me the flights that go from boston to atlanta sometime after 5 pm,flight
show me all flights out of boston on june twentieth that have business class,flight
please list all the takeoffs and landings for general mitchell international,flight
what are the flights from denver to san francisco on tuesday october fifteenth,flight
what are the afternoon flights for denver to san francisco,flight
show me flights from boston to san francisco arriving before 1 pm,flight
show me the flights from san francisco to newark that leave after 11 pm,flight
show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,flight
what flights from memphis to miami on wednesday,flight
show me the flights from los angeles to pittsburgh which arrive at pittsburgh on monday,flight
